Wavmic	FluxJy	errFluxJy
2.84586	1.2767E-4	0.00107
2.84686	1.2645E-4	0.00112
2.84786	1.2174E-4	0.00114
2.84887	1.2265E-4	0.00124
2.84987	1.1815E-4	0.00121
2.85088	1.1507E-4	0.0011
2.85188	1.0719E-4	0.00105
2.85288	1.0755E-4	0.00107
2.85389	9.909E-5	0.00102
2.85489	1.0158E-4	0.00104
2.8559	1.0455E-4	9.97614E-4
2.8569	1.054E-4	0.00102
2.8579	1.0411E-4	9.70837E-4
2.85891	9.829E-5	9.12188E-4
2.85991	9.492E-5	8.98135E-4
2.86092	9.032E-5	8.92476E-4
2.86192	8.76E-5	8.74665E-4
2.86292	8.744E-5	8.51563E-4
2.86393	8.369E-5	8.22772E-4
2.86493	8.461E-5	8.29776E-4
2.86594	8.333E-5	8.13245E-4
2.86694	8.055E-5	7.83684E-4
2.86794	7.753E-5	7.67417E-4
2.86895	7.705E-5	7.95379E-4
2.86995	7.771E-5	8.6019E-4
2.87096	7.021E-5	8.90163E-4
2.87196	6.77E-5	9.05041E-4
2.87296	6.75E-5	9.50832E-4
2.87397	6.575E-5	8.17432E-4
2.87497	7.025E-5	7.90418E-4
2.87598	6.807E-5	7.50929E-4
2.87698	6.496E-5	7.15824E-4
2.87798	6.451E-5	7.17413E-4
2.87899	6.155E-5	6.81832E-4
2.87999	5.529E-5	7.04084E-4
2.881	5.393E-5	6.9867E-4
2.882	5.148E-5	6.95414E-4
2.883	5.105E-5	7.14651E-4
2.88401	4.936E-5	6.62619E-4
2.88501	5.292E-5	7.08658E-4
2.88602	5.593E-5	7.45803E-4
2.88702	5.083E-5	6.61659E-4
2.88802	4.448E-5	6.07928E-4
2.88903	4.456E-5	6.01993E-4
2.89003	4.241E-5	5.82187E-4
2.89104	3.967E-5	5.63905E-4
2.89204	4.59E-5	6.32538E-4
2.89304	4.718E-5	6.19679E-4
2.89405	4.758E-5	5.95681E-4
2.89505	4.469E-5	5.72452E-4
2.89606	4.229E-5	5.61892E-4
2.89706	3.936E-5	5.82875E-4
2.89806	2.944E-5	4.99105E-4
