A	ens	ol	pyr
25.71089	0.13763	0.2404	0.1376
26.25087	0.12886	0.22306	0.13079
26.80219	0.12056	0.20586	0.12426
27.3651	0.1122	0.18726	0.11794
27.93982	0.10407	0.16866	0.11192
28.52662	0.09664	0.15185	0.10518
29.12574	0.08954	0.13549	0.09811
29.73744	0.08231	0.11751	0.0892
30.36199	0.07501	0.10089	0.08037
30.99966	0.06791	0.08577	0.0719
31.65072	0.06129	0.07201	0.06408
32.31545	0.05469	0.05993	0.05669
32.99415	0.0482	0.04971	0.04987
33.68709	0.04227	0.0406	0.04367
34.3946	0.03668	0.03302	0.03792
35.11696	0.03156	0.02691	0.03274
35.85449	0.02685	0.02151	0.02802
36.60751	0.02232	0.01606	0.02305
37.37634	0.01816	0.01127	0.01846
38.16133	0.0144	0.00723	0.01447
38.9628	0.01107	0.00396	0.01134
39.7811	0.00804	0.0013	0.00857
40.61659	0.0055	-3.26286E-5	0.00653
41.46962	0.00341	-3.55221E-4	0.0051
42.34058	0.00158	-2.34134E-4	0.00395
43.22982	-5.30483E-5	-8.40769E-5	0.00287
44.13774	-4.44726E-4	-7.35125E-4	0.00195
45.06473	-5.29182E-4	-8.86379E-4	0.0013
46.01118	-1.95332E-4	-2.98456E-4	3.9843E-4
46.97751	-1.39369E-4	-2.15605E-4	-2.5001E-4
47.96414	-2.64578E-4	-3.94356E-4	-4.11699E-4
48.97149	-1.40139E-4	-1.75755E-4	-2.29764E-4
50	3.76302E-17	7.2252E-17	-3.09376E-17
